month,accidents
2020-01-01,9591
2020-02-01,8546
2020-03-01,6551
2020-04-01,3298
2020-05-01,5599
2020-06-01,6721
2020-07-01,8157
2020-08-01,8875
2020-09-01,9258
2020-10-01,8865
2020-11-01,7610
2020-12-01,8128
2021-01-01,5570
2021-02-01,5251
2021-03-01,6824
2021-04-01,8463
2021-05-01,9120
2021-06-01,9623
2021-07-01,9608
2021-08-01,8726
2021-09-01,9871
2021-10-01,9711
2021-11-01,9975
2021-12-01,8345
2022-01-01,9027
2022-02-01,7678
2022-03-01,8823
2022-04-01,7933
2022-05-01,9177
2022-06-01,9349
2022-07-01,9167
2022-08-01,8939
2022-09-01,8776
2022-10-01,9334
2022-11-01,9592
2022-12-01,8209
2023-01-01,8754
2023-02-01,7558
2023-03-01,8183
2023-04-01,7750
2023-05-01,9075
2023-06-01,9750
2023-07-01,9162
2023-08-01,8417
2023-09-01,9017
2023-10-01,9143
2023-11-01,9161
2023-12-01,8288
2024-01-01,8301
2024-02-01,7537
2024-03-01,7813
2024-04-01,7646
2024-05-01,8983
2024-06-01,9064
2024-07-01,8505
2024-08-01,8191
2024-09-01,8838
2024-10-01,9069
2024-11-01,8919
2024-12-01,8061
